Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_0805_10uF","C_0805_2012Metric",74.800000,-67.800000,180.000000,top
"C27","C_0402_0.1uf","C_0402_1005Metric",73.600000,-72.400000,0.000000,top
"C28","C_0603_1uF","C_0603_1608Metric",78.000000,-68.125000,0.000000,top
"C29","C_0603_1uF","C_0603_1608Metric",73.300000,-70.450000,-90.000000,top
"C30","C_47nF_0402","C_0402_1005Metric",74.500000,-70.100000,90.000000,top
"C32","C_0603_1uF","C_0603_1608Metric",81.500000,-68.125000,180.000000,top
"Q1","30v_60a_Mosfet","VSON-8_3.3x3.3mm_P0.65mm_NexFET",51.500000,-83.500000,90.000000,top
"Q2","30v_60a_Mosfet","VSON-8_3.3x3.3mm_P0.65mm_NexFET",56.110001,-88.590000,-90.000000,top
"Q3","30v_60a_Mosfet","VSON-8_3.3x3.3mm_P0.65mm_NexFET",64.500000,-83.500000,90.000000,top
"Q4","30v_60a_Mosfet","VSON-8_3.3x3.3mm_P0.65mm_NexFET",69.110001,-88.590000,-90.000000,top
"Q5","30v_60a_Mosfet","VSON-8_3.3x3.3mm_P0.65mm_NexFET",77.500000,-83.500000,90.000000,top
"Q6","30v_60a_Mosfet","VSON-8_3.3x3.3mm_P0.65mm_NexFET",82.110001,-88.590000,-90.000000,top
"R3","R_0612_1mOhm","R_0612_1632Metric",56.500000,-85.000000,90.000000,top
"R4","R_0612_1mOhm","R_0612_1632Metric",69.500000,-85.000000,90.000000,top
"R5","R_0612_1mOhm","R_0612_1632Metric",82.500000,-85.000000,90.000000,top
"R6","R_0402_10k","R_0402_1005Metric",71.050000,-59.500000,0.000000,top
"R7","R_0402_10k","R_0402_1005Metric",73.600000,-59.500000,0.000000,top
"U6","DRV8323S","RTA0040B_NV",78.500000,-73.000000,0.000000,top
