"Reference","Value","Datasheet","Footprint","Qty","DNP","Part_Number"
"C1","C_0805_10uF","~","Capacitor_SMD:C_0805_2012Metric","1","","GRM21BR61H106KE43K"
"C27","C_0402_0.1uf","~","Capacitor_SMD:C_0402_1005Metric","1","","GRM155R71H104KE14J"
"C28,C29,C32","C_0603_1uF","~","Capacitor_SMD:C_0603_1608Metric","3","","GRJ21BC72A105ME11L"
"C30","C_47nF_0402","~","Capacitor_SMD:C_0402_1005Metric","1","","GRM155R71H473KE14D"
"J2,J6","Conn_01x09_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","2","",""
"J4","Conn_01x02_Pin","~","Connector_AMASS:AMASS_XT60-M_1x02_P7.20mm_Vertical","1","",""
"Q1,Q2,Q3,Q4,Q5,Q6","30v_60a_Mosfet","https://www.ti.com/lit/ds/symlink/csd17581q3a.pdf","Package_SON:VSON-8_3.3x3.3mm_P0.65mm_NexFET","6","","CSD17581Q3A"
"R3,R4,R5","R_0612_1mOhm","https://www.vishay.com/docs/30417/wfcp.pdf","Resistor_SMD:R_0612_1632Metric","3","","WFCP06121L000FE66"
"R6,R7","R_0402_10k","~","PCM_Resistor_SMD_AKL:R_0402_1005Metric","2","","CR0402-FX-1002GLF"
"U6","DRV8323S","DRV8323S","CustomLibrary:RTA0040B_NV","1","","DRV8323SRTAR"
